product_url,slug,discovered,html_downloaded,parsed,included_in_products_json,included_in_products_csv,failure_reason
https://cartly.com.pk/product/1pc-micro-glow-portable-handset-price-in-pakistan,1pc-micro-glow-portable-handset-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/finishing-touch-price-in-pakistan,finishing-touch-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/finishing-touch-flawless-hair-remover-in-pakistan,finishing-touch-flawless-hair-remover-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/portable-juicer-mixer-in-pakistan,portable-juicer-mixer-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/smart-waterproof-led-flood-lights-in-pakistan,smart-waterproof-led-flood-lights-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/super-kamagra-jelly-price-in-pakistan,super-kamagra-jelly-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/viga-spray-45ml-price-in-pakistan,viga-spray-45ml-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/fruit-vinegar-hair-colour-in-pakistan,fruit-vinegar-hair-colour-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/lolane-natura-7-in-1-hair-serum-in-pakistan,lolane-natura-7-in-1-hair-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/feg-plus-hair-growth-spray-30ml-in-pakistan,feg-plus-hair-growth-spray-30ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/shedavi-hair-scalp-growth-elixir-serum-in-pakistan,shedavi-hair-scalp-growth-elixir-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/steller-nourishing-hair-serum-in-pakistan,steller-nourishing-hair-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/the-ordinary-hair-serum-in-pakistan,the-ordinary-hair-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/melalite-forte-cream-price-in-pakistan,melalite-forte-cream-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/kozimax-skin-lightening-cream-in-pakistan,kozimax-skin-lightening-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/original-glyco-12-cream-in-pakistan,original-glyco-12-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/mequinol-cream-in-pakistan,mequinol-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/hydrocortisone-cream-10g-in-pakistan,hydrocortisone-cream-10g-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/prila-5-cream-in-faisalabad,prila-5-cream-in-faisalabad,true,true,true,true,true,
https://cartly.com.pk/product/glenmark-demelan-cream-20g-in-pakistan,glenmark-demelan-cream-20g-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/monobenzyl-ether-of-hydroquinone-cream-in-pakistan,monobenzyl-ether-of-hydroquinone-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/brinton-benoquin-monobenzone-cream-in-pakistan,brinton-benoquin-monobenzone-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/benoquin-cream-60-in-pakistan-,benoquin-cream-60-in-pakistan-,true,true,true,true,true,
https://cartly.com.pk/product/benoquin-monobenzone-cream-in-pakistan,benoquin-monobenzone-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/fair-look-imported-cream-in-pakistan,fair-look-imported-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-olay-regenerist-price-in-pakistan,buy-olay-regenerist-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/tretinoin-cream-0-1-price-in-pakistan,tretinoin-cream-0-1-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/tretinoin-0-05-cream-buy-online-in-pakistan,tretinoin-0-05-cream-buy-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-mylan-tretinoin-online-in-pakistan,buy-mylan-tretinoin-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/acretin-0-025-cream-30g-price-in-pakistan,acretin-0-025-cream-30g-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/retin-a-0-05-cream-price-in-pakistan,retin-a-0-05-cream-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/uniqueen-monobenzone-cream-100g-jar-in-pakistan,uniqueen-monobenzone-cream-100g-jar-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/monobenzone-cream-usp-original-price-in-pakistan,monobenzone-cream-usp-original-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-online-manual-juice-squeezer-in-pakistan,buy-online-manual-juice-squeezer-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-original-juicers-online-in-pakistan,buy-original-juicers-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/home-stainless-steel-squeezable-mop-in-pakistan,home-stainless-steel-squeezable-mop-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/expandable-magic-hose-pipe-in-pakistan,expandable-magic-hose-pipe-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bio-woman-magic-hair-serum-in-pakistan,bio-woman-magic-hair-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/hair-vita-hair-growth-serum-in-pakistan,hair-vita-hair-growth-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bremod-top-smooth-black-hair-oil-in-pakistan,bremod-top-smooth-black-hair-oil-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/wellice-onion-shampoo-price-in-pakistan,wellice-onion-shampoo-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/neo-hair-herbal-shampoo,neo-hair-herbal-shampoo,true,true,true,true,true,
https://cartly.com.pk/product/buy-dxn-soap-online-at-best-in-pakistan,buy-dxn-soap-online-at-best-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/sodsnie-breast-enlargement-cream,sodsnie-breast-enlargement-cream,true,true,true,true,true,
https://cartly.com.pk/product/pannamas-breast-cream-in-pakistan,pannamas-breast-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/fezora-neck-back-whitening-cream-in-lahore,fezora-neck-back-whitening-cream-in-lahore,true,true,true,true,true,
https://cartly.com.pk/product/eibhc-ayurvedic-breast-toner-massage-oil,eibhc-ayurvedic-breast-toner-massage-oil,true,true,true,true,true,
https://cartly.com.pk/product/vince-perfect-30-s-eye-cream-in-pakistan,vince-perfect-30-s-eye-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-skin-care-sets-kits-online-in-pakistan,buy-skin-care-sets-kits-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/dermasation-24k-gold-facial-kit-price-in-pakistan,dermasation-24k-gold-facial-kit-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/glow-clean-beauty-cream-in-pakistan,glow-clean-beauty-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/dempo-snow-cream-in-pakistan,dempo-snow-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/benoquin-cream-price-in-pakistan,benoquin-cream-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/mbeh-cream-price-in-pakistan,mbeh-cream-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/vlcc-gold-facial-kit-price-in-pakistan-daraz,vlcc-gold-facial-kit-price-in-pakistan-daraz,true,true,true,true,true,
https://cartly.com.pk/product/vivite-super-vitamin-charming-aura-whitening-roll-on,vivite-super-vitamin-charming-aura-whitening-roll-on,true,true,true,true,true,
https://cartly.com.pk/product/roushun-lemon-honey-anti-acne-and-brightening-face-serum-30ml,roushun-lemon-honey-anti-acne-and-brightening-face-serum-30ml,true,true,true,true,true,
https://cartly.com.pk/product/serum-fortifiant-hair-serum-in-pakistan,serum-fortifiant-hair-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bourjois-healthy-mix-anti-fatigue-concealer-in-pakistan,bourjois-healthy-mix-anti-fatigue-concealer-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/elizabeth-arden-flawless-finish-perfectly-satin,elizabeth-arden-flawless-finish-perfectly-satin,true,true,true,true,true,
https://cartly.com.pk/product/prime-magic-clear-face-primer-in-pakistan,prime-magic-clear-face-primer-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/rimmel-match-perfection-skin-tone-adapting-concealer,rimmel-match-perfection-skin-tone-adapting-concealer,true,true,true,true,true,
https://cartly.com.pk/product/multi-action-night-repair-face-serum-in-pakistan,multi-action-night-repair-face-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/wirinef-nose-lift-up-essential-oil-in-pakistan,wirinef-nose-lift-up-essential-oil-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/tomi-brown-business-class-dial-watch-in-pakistan,tomi-brown-business-class-dial-watch-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/v88r-wireless-gps-tracker-in-pakistan,v88r-wireless-gps-tracker-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/best-whitening-cleanser-in-pakistan,best-whitening-cleanser-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/mineral-clarifying-mask-price-in-pakistan,mineral-clarifying-mask-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/elmore-elixir-anti-aging-serum-in-pakistan,elmore-elixir-anti-aging-serum-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/bioaqua-peach-glowing-hand-cream-in-pakistan,bioaqua-peach-glowing-hand-cream-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/spf-50-mineral-sunscreen-30ml-in-pakistan,spf-50-mineral-sunscreen-30ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-eva-naturals-brightening-face-serum-online,buy-eva-naturals-brightening-face-serum-online,true,true,true,true,true,
https://cartly.com.pk/product/lumexa-advanced-brightening-serum-20ml-in-pakistan,lumexa-advanced-brightening-serum-20ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-anti-aging-turmeric-essential-oil-in-pakistan,buy-anti-aging-turmeric-essential-oil-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/guanjing-kojic-acid-moisturizing-and-whitening-soap,guanjing-kojic-acid-moisturizing-and-whitening-soap,true,true,true,true,true,
https://cartly.com.pk/product/zozu-heart-shaped-green-gel-moisturizing-balm,zozu-heart-shaped-green-gel-moisturizing-balm,true,true,true,true,true,
https://cartly.com.pk/product/dr-rashel-aloe-vera-makeup-foundation-100ml,dr-rashel-aloe-vera-makeup-foundation-100ml,true,true,true,true,true,
https://cartly.com.pk/product/rtopr-vitamin-c-face-moisturiser-brighten-repair-skin-price,rtopr-vitamin-c-face-moisturiser-brighten-repair-skin-price,true,true,true,true,true,
https://cartly.com.pk/product/accufix-cleansing-balm-60ml-in-pakistan,accufix-cleansing-balm-60ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/hydrocortisone-2-5-cream-price-in-pakistan,hydrocortisone-2-5-cream-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/dapsone-gel-10g-price-in-pakistan,dapsone-gel-10g-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/clearwin-plus-gel-price-in-pakistan,clearwin-plus-gel-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/anu-thailam-100-original-oil-in-pakistan,anu-thailam-100-original-oil-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/clearwin-gel-price-in-pakistan,clearwin-gel-price-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/zinc-serum-herbal-handmade-shop-in-pakistan,zinc-serum-herbal-handmade-shop-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/orange-mask-stick-in-pakistan-buy-now,orange-mask-stick-in-pakistan-buy-now,true,true,true,true,true,
https://cartly.com.pk/product/coffee-serum-herbal-handmade-30ml-in-pakistan,coffee-serum-herbal-handmade-30ml-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-pro-longer-oil-online-in-pakistan,buy-pro-longer-oil-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/buy-deemark-herbal-hair-oil-online-in-pakistan,buy-deemark-herbal-hair-oil-online-in-pakistan,true,true,true,true,true,
https://cartly.com.pk/product/intense-growth-hair-oil-100ml-in-pakistan,intense-growth-hair-oil-100ml-in-pakistan,true,true,true,true,true,
